OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,17.73951,-64.783592
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,29.335989,-81.131289
46,PETRO STOPPING CENTER #348,"I-85, EXIT 22 & CR-138",Shorter,AL,720,3.154,41.812359,-74.741394
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,42.466499,-85.653068
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,28.081515,-82.352536
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,39.961817,-85.999483
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.207228,-91.824671
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station,IN,365,3.809,42.988392,-82.467691
207,MARATHON,SR-32,Sardinia,OH,300,3.56566666,40.74603,-73.98344
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville,MD,165,3.899,39.657556,-79.77584
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls,MT,815,3.63566666,33.598729,72.953144
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,40.981139,-75.629348
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,19.72195,-79.78958
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,39.865835,-84.945613
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,33.325652,-97.181409
